pineapple, noun, food, B1
pink, adjective, General, A1
pink, noun, General, A2
pipe, noun, General, B1
pit, noun, General, B1
pity, noun, General, A2
pizza, noun, General, A1
place, noun, General, A1
place, verb, General, B1
plain, adjective, General, B1
plan, noun, General, A1
plan, verb, General, B1
plane, noun, travel, A1
planet, noun, travel, A2
plant, noun, General, A2
plant, verb, General, B1
plastic, adjective, General, A2
plastic, noun, General, B1
plate, noun, General, A2
platform, noun, General, B1
play, noun, sports, A1
play, verb, sports, A1
player, noun, sports, A1
playful, adjective, sports, A2
playground, noun, sports, A2
pleasant, adjective, General, A2
pleasantly, adverb, General, B1
please, adverb, General, A1
please, verb, General, B1
pleased, adjective, General, A2
pleasing, adjective, General, A2
pleasure, noun, General, A1
plenty, noun, General, A2
plenty, pronoun, General, B1
plug, noun, General, B1
plural, noun, General, A2
plus, conjunction, General, B1
plus, preposition, General, A2
pocket, noun, General, A1
pocket money, noun, General, B1
poem, noun, General, A1
poet, noun, General, B1
poetry, noun, General, B1
point, noun, General, A1
point, verb, General, A2
poison, noun, General, B1
poisonous, adjective, General, B1
pole, noun, General, B1
police, noun, General, A2
police officer, noun, work, A2
police station, noun, travel, A2
policeman, noun, General, A2
policewoman, noun, General, A2
policy, noun, General, B1
polite, adjective, General, A2
politely, adverb, General, B1
political, adjective, General, A2
politician, noun, General, B1
politics, noun, General, B1
pollutant, noun, General, B1
pollute, verb, General, A2
pollution, noun, General, A1
pond, noun, General, B1
pool, noun, General, A1
poor, adjective, General, A1
pop, noun, General, A1
popcorn, noun, General, B1
popular, adjective, General, A2
population, noun, General, A2
pork, noun, General, B1
port, noun, General, B1
portrait, noun, General, A2
position, noun, General, A2
positive, adjective, General, B1
positively, adverb, General, B1
possess, verb, General, B1
possession, noun, General, B1
possessive, adjective, General, B1
possibility, noun, General, B1
possible, adjective, General, A2
possibly, adverb, General, A2
post, noun, General, A1
post, verb, General, A2
post office, noun, work, A2
postcard, noun, travel, B1
poster, noun, General, A1
postman, noun, General, B1
pot, noun, General, B1
potato, noun, food, A1
potential, noun, General, B1
pottery, noun, General, B1
pound, noun, General, B1
pour, verb, General, A2
poverty, noun, General, B1
powder, noun, General, B1
power, noun, General, A2
powerful, adjective, General, A2
practical, adjective, General, B1
practice, noun, General, A1
practice/practise, verb, General, A1
praise, noun, General, B1
pray, verb, General, A1
prayer, noun, General, B1
precious, adjective, General, B1
precise, adjective, General, A2
predict, verb, General, A2
prediction, noun, General, A2
prefer, verb, General, A2
preference, noun, General, B1
prefix, noun, General, B1
pregnant, adjective, General, B1
prejudice, noun, General, B1
preparation, noun, General, B1
prepare, verb, General, A2
prepared, adjective, General, B1
preposition, noun, General, B1
preschool, adjective, General, B1
prescription, noun, General, B1
presence, noun, General, B1
present, adjective, General, B1
present, noun, General, A1
presentation, noun, General, B1
preservation, noun, General, B1
preserve, verb, General, B1
president, noun, General, B1
press, noun, General, B1
press, verb, General, B1
pressure, noun, General, A2
pretend, verb, General, A2
pretty, adjective, General, A1
pretty, adverb, General, A2
prevent, verb, General, A2
previous, adjective, General, B1
price, noun, General, A1
pride, noun, General, A2
priest, noun, General, B1
primarily, adverb, General, B1
primary school, noun, General, B1
primitive, adjective, General, B1
prince, noun, General, A1
princess, noun, General, A1
principal, adjective, General, A2
principle, noun, General, B1
print, noun, General, B1
print, verb, General, A2
printer, noun, General, A2
prison, noun, General, B1
prisoner, noun, General, B1
privacy, noun, General, B1
private, adjective, General, A2
prize, noun, General, B1
pro, noun, General, A2
probability, noun, General, B1
probably, adverb, General, A2
problem, noun, General, A1
proceed, verb, General, B1
process, noun, General, B1
proclaim, verb, General, B1
procrastination, noun, General, B1
produce, verb, General, A2
producer, noun, General, B1
product, noun, General, A2
production, noun, General, A2
productive, adjective, General, B1
profession, noun, work, B1
professional, adjective, work, A2
professor, noun, General, B1
program/programme, noun, General, A1
program/programme, verb, General, B1
progress, noun, General, B1
progressive, adjective, General, A2
prohibition, noun, General, B1
prominent, adjective, General, B1
promise, noun, General, A2
promise, verb, General, B1
promote, verb, General, B1
promotion, noun, General, B1
pronoun, noun, General, B1
pronounce, verb, General, A2
pronunciation, noun, General, A2
proof, noun, General, B1
proper, adjective, General, A2
properly, adverb, General, B1
property, noun, General, B1
proportion, noun, General, B1
proposal, noun, General, B1
propose, verb, General, B1
prosperity, noun, General, B1
prosperous, adjective, General, B1
protect, verb, General, B1
protection, noun, General, B1
protective, adjective, General, B1
protest, noun, General, B1
proud, adjective, General, B1
prove, verb, General, B1
proverb, noun, General, B1
provide, verb, General, A2
provided, conjunction, General, B1
psychological, adjective, General, B1
psychologist, noun, General, A2
pub, noun, General, B1
public, adjective, General, B1
public, noun, General, A2
public transport, noun, sports, B1
publicly, adverb, General, B1
publish, verb, General, A2
publisher, noun, General, B1
pull, verb, General, A2
pullover, noun, General, B1
pump, noun, General, B1
punctuation, noun, General, A2
punish, verb, General, B1
punishment, noun, General, B1
pupil, noun, General, B1
puppy, noun, General, B1
pure, adjective, General, B1
purify, verb, General, B1
purple, adjective, General, A2
purple, noun, General, A1
purpose, noun, General, A2
purse, noun, General, B1
pursue, verb, General, A2
push, noun, General, B1
push, verb, General, A1
put, verb, General, A1
puzzle, noun, General, B1
quake, noun, General, B1
qualified, adjective, General, B1
qualify, verb, General, B1
quality, adjective, General, B1
quality, noun, General, A2
quantity, noun, General, B1
quarter, noun, General, A1
queen, noun, General, A2
question, noun, General, A1
question mark, noun, General, B1
questionnaire, noun, General, B1
queue, noun, General, B1
quick, adjective, General, A2
quickly, adverb, General, A1
quiet, adjective, General, A1
quietly, adverb, General, A2
quit, verb, General, A2
quite, adverb, General, A2
quiz, noun, General, A2
rabbit, noun, animals, A1
race, noun, sports, B1
race, verb, sports, B1
racial, adjective, General, B1
racket, noun, General, A2
radiation, noun, General, B1
radio, noun, General, A1
rage, noun, General, B1
rail, noun, General, B1
railroad, noun, General, B1
railway, noun, travel, B1
rain, noun, General, A1
rain, verb, General, A1
raincoat, noun, clothes, A2
rainfall, noun, General, B1
rainforest, noun, General, B1
rainy, adjective, General, A1
raise, verb, General, A2
range, noun, General, A2
rank, noun, General, B1
rap, noun, General, A2
rap, verb, General, B1
rapid, adjective, General, B1
rapidly, adverb, General, B1
rare, adjective, General, B1
rarely, adverb, General, B1
raspberry, noun, General, B1
rat, noun, General, A1
rate, noun, General, A2
rather, adverb, General, A2
rating, noun, General, A2
ration, noun, General, B1
rational, adjective, General, B1
raw, adjective, General, A2
ray, noun, General, A2
razor, noun, General, B1
're, be-verb, General, A1
reach, noun, General, B1
reach, verb, General, A2
react, verb, General, B1
read, verb, General, A1
reader, noun, General, A1
reading, noun, General, A1
ready, adjective, General, A1
real, adjective, General, A1
real, adverb, General, A1
realistic, adjective, General, B1
reality, noun, General, B1
realize/realise, verb, General, A2
really, adverb, General, A1
rearrange, verb, General, B1
reason, noun, General, A1
reasonable, adjective, General, B1
rebuild, verb, General, B1
recall, verb, General, B1
receipt, noun, General, A2
receive, verb, General, A2
recent, adjective, General, A2
recently, adverb, General, A2
reception, noun, General, B1
receptionist, noun, General, A2
recite, verb, General, B1
reclaim, verb, General, B1
recognize/recognise, verb, General, B1
recommend, verb, General, B1
record, noun, General, B1
record, verb, General, A2
recording, noun, General, B1
recover, verb, General, B1
recovery, noun, General, B1
recycle, verb, General, A2
recycled, adjective, General, B1
recycling, noun, General, B1
red, adjective, General, A1
red, noun, General, A2
reduce, verb, General, B1
reduction, noun, General, B1
reef, noun, General, B1
refer, verb, General, A2
referee, noun, General, B1
reflect, verb, General, A2
reflection, noun, General, B1
refreshments, noun, General, B1
refrigerator, noun, General, A2
refund, noun, General, B1
refusal, noun, General, B1
refuse, noun, General, B1
refuse, verb, General, B1
regain, verb, General, B1
regard, verb, General, B1
regarding, preposition, General, B1
region, noun, General, B1
regional, adjective, General, B1
