independent, adjective, General, B1
indicate, verb, animals, A2
indirect, adjective, General, B1
indirectly, adverb, General, B1
individual, adjective, General, B1
indoor, adjective, General, A2
indoors, adverb, General, B1
industrial, adjective, General, B1
industry, noun, General, B1
inevitable, adjective, General, B1
inexpensive, adjective, General, A2
infection, noun, General, B1
infinitive, noun, General, B1
influence, noun, General, A2
inform, verb, General, B1
information, noun, General, A1
informative, adjective, General, B1
ingredient, noun, General, B1
inhabitant, noun, General, B1
inhale, verb, General, B1
initial, noun, General, B1
initially, adverb, General, B1
inject, verb, General, B1
injure, verb, General, A2
injury, noun, General, B1
ink, noun, General, B1
inner, adjective, General, A2
innermost, adjective, General, B1
innocent, adjective, General, B1
innovator, noun, General, B1
inquiry/enquiry, noun, General, B1
insane, adjective, General, B1
inscribe, verb, General, B1
inscription, noun, General, B1
insect, noun, General, A2
inside, adverb, General, A2
inside, preposition, General, A1
insight, noun, General, B1
insist, verb, General, B1
inspection, noun, General, B1
inspiration, noun, General, A2
inspire, verb, General, B1
install/instal, verb, General, B1
instance, noun, General, B1
instant, adjective, General, A2
instead, adverb, General, A2
instead of, preposition, General, B1
institute, noun, General, B1
instruction, noun, General, B1
instructor, noun, General, B1
instrument, noun, General, A2
insurance, noun, General, B1
intelligence, noun, General, A2
intelligent, adjective, General, A2
intend, verb, General, B1
intense, adjective, General, B1
intensive, adjective, General, B1
intention, noun, General, B1
intentionally, adverb, General, B1
interact, verb, General, B1
interaction, noun, General, B1
interest, noun, General, A2
interest, verb, General, B1
interested, adjective, General, A1
interesting, adjective, General, A1
intermediate, adjective, General, B1
intermission, noun, General, B1
internal, adjective, General, B1
international, adjective, General, A2
internationally, adverb, General, B1
Internet/internet, noun, technology, A1
interrupt, verb, General, B1
interval, noun, General, B1
interview, noun, General, A1
interview, verb, General, B1
interviewee, noun, General, B1
interviewer, noun, General, A1
into, preposition, General, A1
introduce, verb, General, A1
introduction, noun, General, B1
invade, verb, General, A2
invasion, noun, General, B1
invent, verb, General, A2
invention, noun, General, A2
invest, verb, General, B1
investigation, noun, General, B1
invitation, noun, General, B1
invite, verb, General, A2
involuntarily, adverb, General, B1
involve, verb, General, B1
involved, adjective, General, B1
iron, noun, General, B1
iron, verb, General, B1
ironing, noun, General, B1
irregular, adjective, General, B1
irritate, verb, General, B1
is, be-verb, General, A1
island, noun, General, A1
isle, noun, General, B1
isolation, noun, General, B1
issue, noun, General, A2
IT, noun, General, A2
it, pronoun, General, A1
item, noun, General, A1
its, determiner, General, A1
its, pronoun, General, A1
itself, pronoun, General, A2
ivory, noun, General, B1
jacket, noun, clothes, A1
jade, noun, General, B1
jail/gaol, noun, General, B1
jam, noun, General, A2
January, noun, General, A1
jar, noun, General, B1
jazz, noun, General, B1
jealous, adjective, General, B1
jeans, noun, General, A1
jelly, noun, General, A2
jet, noun, General, A1
jewel, noun, General, B1
jewelry/jewellery, noun, General, A1
job, noun, work, A1
jog, verb, General, B1
jogging, noun, General, B1
join, verb, General, A1
joint, adjective, General, B1
joke, noun, General, A2
joke, verb, General, B1
journal, noun, General, B1
journalist, noun, General, B1
journey, noun, travel, A2
joy, noun, General, A2
judge, noun, General, B1
judge, verb, General, A1
judgment/judgement, noun, General, B1
jug, noun, General, B1
juice, noun, General, A1
juicy, adjective, General, B1
July, noun, General, A1
jump, verb, General, A1
jumper, noun, General, B1
June, noun, General, A1
jungle, noun, General, B1
junior, adjective, General, A2
junk, noun, General, A2
just, adverb, General, A1
justice, noun, General, B1
keep, verb, General, A1
kettle, noun, General, B1
key, adjective, General, A1
key, noun, General, A1
keyboard, noun, General, B1
kick, noun, General, A1
kick, verb, General, A1
kid, noun, General, A1
kid, verb, General, B1
kill, verb, General, A1
killer, noun, General, A2
killing, noun, General, B1
kilo, noun, General, A2
kilogram/kilogramme, noun, General, A2
kilometer/kilometre, noun, General, A2
kind, adjective, General, A2
kind, noun, General, A1
kindly, adjective, General, A2
kindly, adverb, General, B1
kindness, noun, General, B1
king, noun, General, A1
kingdom, noun, General, A2
kiss, noun, General, A1
kiss, verb, General, B1
kit, noun, General, A2
kitchen, noun, General, A1
kite, noun, General, A1
kitten, noun, General, B1
knee, noun, General, A1
knife, noun, General, A1
knit, verb, General, B1
knock, noun, General, A2
knock, verb, General, B1
know, verb, General, A1
knowledge, noun, General, A2
lab, noun, General, B1
labor/labour, noun, General, A2
laboratory, noun, General, B1
lack, noun, General, A2
ladder, noun, General, B1
lady, noun, General, A1
lake, noun, General, A2
lamb, noun, General, B1
lamp, noun, General, A2
land, noun, General, B1
land, verb, General, A2
landlord, noun, General, B1
landscape, noun, General, A2
lane, noun, General, A2
language, noun, General, A1
large, adjective, General, A1
largely, adverb, General, B1
last, adverb, General, B1
last, determiner, General, A2
last, pronoun, General, A2
last, verb, General, B1
last name, noun, General, A1
lasting, adjective, General, B1
late, adjective, General, A1
late, adverb, General, A1
latecomer, noun, General, B1
lately, adverb, General, B1
later, adverb, General, A1
latest, adjective, General, A2
latter, adverb, General, A2
latter, pronoun, General, A2
laugh, noun, General, B1
laugh, verb, General, A1
laughter, noun, General, B1
launch, verb, General, B1
law, noun, General, A2
lawful, adjective, General, B1
lawyer, noun, General, A2
lay, verb, General, B1
layer, noun, General, B1
laziness, noun, General, A2
lazy, adjective, General, A1
lead, adjective, General, B1
lead, noun, General, A2
lead, verb, General, B1
leader, noun, General, A1
leadership, noun, General, B1
leading, adjective, General, B1
leaf, noun, General, A1
league, noun, General, B1
lean, adjective, General, B1
leap, verb, General, B1
learn, verb, General, A1
learner, noun, General, A2
least, adverb, General, B1
least, determiner, General, A2
leather, noun, food, A2
leave, noun, General, B1
leave, verb, General, A1
lecture, noun, General, B1
left, adjective, General, A1
left, adverb, General, A2
left, noun, General, A2
left-hand, adjective, General, A2
leg, noun, General, A1
legal, adjective, General, B1
legally, adverb, General, B1
leisure, noun, General, A2
lemon, noun, General, A2
lemonade, noun, General, A2
lend, verb, General, A2
length, noun, General, B1
less, adverb, General, A2
less, determiner, General, A2
less, pronoun, General, A2
lessen, verb, General, B1
lesson, noun, General, A1
let, verb, General, A1
letter, noun, General, A1
lettuce, noun, General, B1
level, adjective, General, B1
level, noun, General, A2
liar, noun, General, B1
liberate, verb, General, B1
liberation, noun, General, B1
liberty, noun, General, A2
librarian, noun, General, B1
library, noun, General, A1
license/licence, verb, General, A2
lie, noun, General, B1
lie, verb, General, A2
life, noun, General, A1
lifeguard, noun, General, B1
lifelong, adjective, General, B1
lifestyle, noun, General, A2
lift, noun, General, B1
lift, verb, General, B1
light, adjective, General, A1
light, noun, General, A1
light, verb, General, B1
lighter, noun, General, B1
lightly, adverb, General, B1
lightning, noun, General, B1
like, conjunction, General, B1
like, preposition, General, A1
like, verb, General, A1
likely, adjective, General, A2
likeness, noun, General, B1
lily, noun, General, A1
limit, noun, General, B1
limit, verb, General, B1
limitation, noun, General, B1
limited, adjective, General, B1
limp, verb, General, B1
line, noun, General, A1
link, noun, General, B1
link, verb, General, B1
lion, noun, animals, A1
lip, noun, General, A2
liquid, adjective, General, B1
liquid, noun, General, B1
list, noun, General, A1
listen, verb, General, A1
liter/litre, noun, General, A2
literary, adjective, General, B1
literature, noun, General, B1
little, adjective, General, A1
little, adverb, General, A1
little, determiner, General, B1
little, pronoun, General, B1
live, adjective, General, B1
live, verb, General, A1
lively, adjective, General, A2
liver, noun, General, B1
living, adjective, General, A1
living room, noun, General, A1
load, noun, General, A2
loaf, noun, General, B1
local, adjective, General, A2
locate, verb, animals, B1
location, noun, animals, B1
lock, noun, General, A2
lock, verb, General, B1
lodge, noun, General, B1
log, noun, General, B1
logic, noun, General, B1
logical, adjective, General, A2
logo, noun, General, B1
lonely, adjective, General, A1
long, adjective, General, A1
long, adverb, General, A2
look, noun, General, A1
look, verb, General, A1
loose, adjective, General, A2
lorry, noun, General, B1
lose, verb, General, A2
loss, noun, General, B1
lost, adjective, General, A2
lot, adverb, General, A1
lot, noun, General, A2
lot, pronoun, General, A1
lottery, noun, General, B1
loud, adjective, General, B1
loud, adverb, General, B1
loudly, adverb, General, A2
loudspeaker, noun, General, B1
love, noun, General, A1
love, verb, General, A1
lovely, adjective, General, A1
lover, noun, General, A2
lovingly, adverb, General, B1
low, adjective, General, A2
low, adverb, General, A2
loyal, adjective, General, B1
loyalty, noun, General, B1
luck, noun, General, A1
luckily, adverb, General, A2
lucky, adjective, General, A1
luggage, noun, General, B1
lunch, noun, food, A1
lunchtime, noun, food, A2
lung, noun, General, B1
luxury, noun, General, B1
lyric, adjective, General, A2
'm, be-verb, General, A1
machine, noun, technology, A1
mad, adjective, General, A2
magazine, noun, General, A1
magic, adjective, General, A2
magic, noun, General, A2
magical, adjective, General, B1
magician, noun, General, B1
magnificent, adjective, General, B1
mail, noun, General, A1
mail, verb, General, B1
mailbox, noun, General, B1
main, adjective, General, B1
main course, noun, General, A2
mainly, adverb, General, A2
maintain, verb, General, B1
maintenance, noun, General, B1
major, adjective, General, A2
majority, noun, General, B1
make, verb, General, A1
maker, noun, General, A2
make-up, noun, General, A2
male, adjective, General, B1
male, noun, General, A2
mall, noun, General, A2
man, noun, General, A1
manage, verb, General, A2
management, noun, General, B1
manager, noun, work, A2
mankind, noun, General, B1
manner, noun, General, A2
many, determiner, General, A1
many, pronoun, General, A1
map, noun, travel, A1
maple, noun, travel, B1
marble, noun, General, B1
March, noun, General, A1
march, noun, General, B1
march, verb, General, B1
marine, adjective, General, B1
mark, noun, General, A2
mark, verb, General, A2
marked, adjective, General, B1
market, noun, General, A2
market, verb, General, B1
marriage, noun, General, B1
married, adjective, General, A2
marry, verb, General, A2
marvelous/marvellous, adjective, General, A2
mash, verb, General, B1
mass, adjective, General, B1
massive, adjective, General, B1
match, noun, General, A1
match, verb, General, B1
material, noun, General, A2
math/maths, noun, General, A1
mathematician, noun, General, B1
mathematics, noun, General, B1
matter, noun, General, A1
matter, verb, General, A2
max, noun, General, A2
maximum, adjective, General, B1
maximum, noun, General, B1
may, modal auxiliary, General, A1
May, noun, General, A1
maybe, adverb, General, A1
mayor, noun, General, B1
me, pronoun, General, A1
meal, noun, General, A1
mean, adjective, General, A2
mean, verb, General, A1
meaning, noun, General, A2
meaningful, adjective, General, B1
meanwhile, adverb, General, B1
measure, noun, General, B1
measure, verb, General, B1
measurement, noun, General, B1
meat, noun, food, A1
mechanic, noun, General, B1
mechanical, adjective, General, B1
medal, noun, General, A2
medical, adjective, General, A2
medicine, noun, health, A1
meditate, verb, General, B1
meditation, noun, General, B1
Mediterranean, noun, General, B1
medium, adjective, General, B1
medium, noun, General, B1
meet, verb, General, A1
meeting, noun, General, A1
melon, noun, General, A2
melt, verb, General, B1
member, noun, General, A2
membership, noun, General, B1
memorable, adjective, General, B1
memorize/memorise, verb, General, B1
memory, noun, General, A1
mend, verb, General, B1
mental, adjective, General, B1
mentally, adverb, General, B1
mention, noun, General, A2
mention, verb, General, B1
menu, noun, General, A2
merchant, noun, General, B1
mere, adjective, General, B1
merely, adverb, General, B1
merry, adjective, General, A1
mess, noun, General, B1
message, noun, General, A1
message board, noun, General, B1
messy, adjective, General, B1
metal, noun, General, A2
meter/metre, noun, General, A2
method, noun, General, A2
midday, noun, General, A2
middle, adjective, General, A1
middle, noun, General, A2
middle-aged, adjective, General, B1
midnight, noun, General, A2
might, modal auxiliary, General, A2
mild, adjective, General, B1
mile, noun, General, B1
military, adjective, General, A2
milk, noun, General, A1
million, number, animals, A2
mind, noun, General, A1
mind, verb, General, A2
mine, pronoun, General, A1
mineral, noun, General, B1
mineral water, noun, food, A2
minimize/minimise, verb, General, B1
minimum, adjective, General, B1
minimum, noun, General, B1
minor, adjective, General, B1
minority, noun, General, B1
minus, preposition, General, B1
minute, noun, General, A1
miracle, noun, General, B1
mirror, noun, General, A2
mischief, noun, General, B1
miserable, adjective, General, B1
misery, noun, General, B1
mislead, verb, General, B1
Miss, noun, General, A1
miss, verb, General, A1
missing, adjective, General, A2
mission, noun, General, B1
mistake, noun, General, A2
misty, adjective, General, B1
misunderstanding, noun, General, B1
mix, verb, General, A2
mixing bowl, noun, General, B1
mobile, adjective, technology, A2
mobile, noun, technology, A1
mobile phone, noun, technology, A1
modal verb/modal, noun, General, B1
model, adjective, General, B1
model, noun, General, A2
model, verb, General, B1
modem, noun, General, B1
moderate, adjective, General, B1
modern, adjective, General, A2
modify, verb, General, B1
moisture, noun, General, B1
molecule, noun, General, B1
mom, noun, General, A1
moment, noun, General, A1
mommy/mommie, noun, General, A1
Monday, noun, General, A1
money, noun, General, A1
monitor, noun, General, B1
monitor, verb, General, B1
monk, noun, General, B1
monkey, noun, animals, A1
monster, noun, General, B1
month, noun, General, A1
monthly, adjective, General, B1
monthly, adverb, General, B1
monument, noun, General, B1
mood, noun, General, A2
moon, noun, General, A1
moral, noun, General, B1
more, adverb, General, B1
more, determiner, General, A1
more, pronoun, General, A1
moreover, adverb, General, B1
morning, noun, General, A1
mosque, noun, General, A2
mosquito, noun, General, B1
moss, noun, General, B1
most, adverb, General, A2
most, determiner, General, A1
most, pronoun, General, A2
mostly, adverb, General, A2
mother, noun, General, A1
motherland, noun, General, B1
motionless, adjective, General, B1
motivate, verb, General, B1
motivation, noun, General, B1
motive, noun, General, B1
motor, noun, General, B1
motorcycle, noun, General, B1
motorway, noun, General, A2
motto, noun, General, B1
mount, noun, General, B1
mountain, noun, General, A1
mountaintop, noun, General, B1
mourn, verb, General, B1
mouse, noun, animals, A1
mouth, noun, General, A1
move, noun, General, A1
move, verb, General, A2
movement, noun, General, B1
movie, noun, General, A1
MP3 player, noun, sports, A2
Mr./Mr, noun, General, A1
Mrs./Mrs, noun, General, A1
Ms./Ms, noun, General, A2
much, adverb, General, A1
much, determiner, General, A1
much, pronoun, General, A1
mud, noun, General, B1
mug, noun, General, A2
mule, noun, General, B1
mum, noun, General, A1
murder, noun, General, A2
murder, verb, General, B1
murderer, noun, General, B1
muscle, noun, General, B1
