disease, noun, health, B1
disgusting, adjective, General, B1
dish, noun, General, A1
dishonest, adjective, General, A2
dishwasher, noun, General, B1
disk/disc, noun, General, B1
dislike, noun, General, A2
dislike, verb, General, B1
display, noun, sports, A2
display, verb, sports, B1
dissolve, verb, General, B1
distance, noun, General, B1
distant, adjective, General, B1
distinction, noun, General, B1
distinctly, adverb, General, B1
distinguish, verb, General, B1
distribute, verb, General, B1
distribution, noun, General, B1
district, noun, General, B1
disturb, verb, General, A2
disturbance, noun, General, B1
dive, noun, General, B1
dive, verb, General, B1
diver, noun, General, B1
diverse, adjective, General, B1
divide, noun, General, B1
divide, verb, General, A2
divine, adjective, General, B1
diving, noun, General, B1
divorced, adjective, General, B1
dizzy, adjective, General, A2
DJ, noun, General, B1
do, do-verb, General, A1
doc, noun, General, B1
doctor/Dr./Dr, noun, work, A1
document, noun, General, B1
documentary, noun, General, B1
does, do-verb, General, A1
dog, noun, animals, A1
doing, do-verb, General, A1
doll, noun, General, A1
dollar, noun, General, A1
dolphin, noun, General, B1
done, do-verb, General, A2
door, noun, General, A1
dot, noun, General, B1
double, adjective, General, A2
doubt, noun, General, A2
down, adverb, General, A1
down, preposition, General, A2
download, verb, General, A2
downstairs, adjective, General, B1
downstairs, adverb, General, A2
downtown, adverb, General, A2
downward, adjective, General, B1
doze, noun, General, B1
dozen, determiner, General, B1
dozen, noun, General, B1
drag, verb, General, B1
drama, noun, General, A1
dramatic, adjective, General, B1
draw, noun, General, A2
draw, verb, General, A1
drawer, noun, General, A2
drawing, noun, sports, A2
dream, noun, General, A1
dream, verb, General, A2
dress, noun, clothes, A1
dress, verb, clothes, A2
dressed, adjective, clothes, A2
drill, noun, General, A2
drink, noun, General, A1
drink, verb, General, A1
drive, noun, travel, A1
drive, verb, travel, A2
driver, noun, travel, A1
driver's license/driving licence, noun, travel, A2
drop, noun, General, A2
drop, verb, General, A1
drown, verb, General, B1
drug, noun, General, A2
drugstore, noun, General, A2
drum, noun, General, A1
drunk, adjective, sports, B1
dry, adjective, General, A1
dry, verb, General, A2
duck, noun, General, A2
dude, noun, General, B1
due, adjective, General, A1
dull, adjective, General, B1
dump, noun, General, B1
dump, verb, General, B1
during, preposition, General, A2
dust, noun, General, A2
dustbin, noun, General, B1
dusty, adjective, General, B1
duty, noun, General, B1
duty-free, adjective, General, B1
duvet, noun, General, B1
DVD, noun, General, A1
dynasty, noun, General, B1
each, determiner, General, A1
each, pronoun, General, A1
each other, pronoun, General, A1
eager, adjective, General, B1
eagerness, noun, General, B1
ear, noun, General, A1
earache, noun, General, B1
early, adjective, General, A2
early, adverb, General, A1
earn, verb, General, A2
earnest, adjective, General, B1
earring, noun, General, A2
earth, noun, General, A2
earthquake, noun, General, A2
easily, adverb, General, A2
east, adjective, General, A2
east, adverb, General, A2
east, noun, General, A2
eastern, adjective, General, B1
easy, adjective, General, A1
easygoing/easy-going, adjective, General, B1
eat, verb, food, A1
eco, noun, General, B1
ecological, adjective, General, B1
ecology, noun, General, B1
economic, adjective, General, B1
economics, noun, General, B1
economy, noun, General, B1
ecosystem, noun, General, B1
ecstasy, noun, General, B1
edge, noun, General, B1
edition, noun, General, B1
editor, noun, General, A2
educate, verb, animals, B1
education, noun, animals, A2
educational, adjective, animals, A2
effect, noun, General, A2
effective, adjective, General, B1
efficiency, noun, General, B1
efficient, adjective, General, B1
effort, noun, General, A2
egg, noun, General, A1
eight, number, General, A1
eighteen, number, General, A1
eighty, number, General, A1
either, adverb, General, A1
either, conjunction, General, A2
either, determiner, General, B1
either, pronoun, General, B1
elbow, noun, General, B1
elderly, adjective, General, A2
election, noun, General, B1
electric, adjective, General, A2
electrical, adjective, General, B1
electricity, noun, General, B1
electron, noun, General, B1
electronic, adjective, General, B1
element, noun, General, B1
elementary, adjective, General, A1
elephant, noun, animals, A2
elevator, noun, General, A2
eleven, number, General, A1
eliminate, verb, General, B1
else, adverb, General, A1
elsewhere, adverb, General, A2
email, verb, technology, A2
email/e-mail/E-mail, noun, technology, A1
embarrass, verb, General, B1
embarrassed, adjective, General, B1
embarrassing, adjective, General, A2
embarrassment, noun, General, B1
emerge, verb, General, B1
emergency, noun, General, A2
emotion, noun, General, B1
emotional, adjective, General, B1
emotionally, adverb, General, B1
emperor, noun, General, B1
emphasis, noun, General, B1
emphasize/emphasize, verb, General, B1
empire, noun, General, B1
employment, noun, General, B1
empty, adjective, General, A2
enable, verb, General, B1
enclose, verb, General, B1
encounter, noun, General, B1
encourage, verb, General, A2
encouragement, noun, General, B1
encouraging, adjective, General, B1
encyclopedia/encyclopaedia, noun, General, B1
end, noun, General, A1
end, verb, General, A2
endanger, verb, General, B1
endangered, adjective, General, A2
ending, noun, General, A2
endless, adjective, General, B1
endure, verb, General, B1
enemy, noun, General, B1
energetic, adjective, General, A2
engage, verb, General, B1
engaged, adjective, General, B1
engine, noun, General, B1
engineer, noun, General, A1
engineering, noun, General, B1
Englishman, noun, General, B1
enjoy, verb, General, A1
enjoyable, adjective, General, B1
enjoyment, noun, General, B1
enormous, adjective, General, A2
enough, adverb, General, A2
enough, determiner, General, A2
enough, pronoun, General, A2
enrich, verb, General, B1
ensure, verb, General, B1
enter, verb, General, A2
entertain, verb, General, B1
entertainer, noun, General, B1
entertainment, noun, General, A2
enthusiasm, noun, General, B1
enthusiast, noun, General, B1
enthusiastic, adjective, General, B1
entire, adjective, General, B1
entirely, adverb, General, B1
entrance, noun, General, A2
entry, noun, General, B1
envelope, noun, General, A2
environmental, adjective, General, B1
environmentalist, noun, General, B1
envy, noun, General, A2
episode, noun, General, A2
equal, adjective, General, B1
equality, noun, General, B1
equally, adverb, General, B1
equipment, noun, General, B1
era, noun, General, B1
error, noun, General, A2
escalator, noun, General, A2
escape, noun, General, A2
escape, verb, General, B1
especially, adverb, General, A2
essay, noun, General, A2
essence, noun, General, B1
essential, adjective, General, B1
establish, verb, General, A2
establishment, noun, General, B1
estimate, verb, General, B1
eternal, adjective, General, B1
eternity, noun, General, B1
euro, noun, General, A2
even, adjective, General, B1
even, adverb, General, A2
evening, noun, General, A1
evenly, adverb, General, B1
event, noun, General, A1
eventually, adverb, General, B1
ever, adverb, General, A2
every, determiner, General, A1
everybody, pronoun, health, A1
everyday, adjective, General, A1
everyone, pronoun, General, A1
everything, pronoun, General, A1
everywhere, adverb, General, A1
evidence, noun, General, A2
evident, adjective, General, B1
exact, adjective, General, B1
exactly, adverb, General, A2
exam, noun, General, A2
examination, noun, General, B1
examine, verb, General, B1
examiner, noun, General, B1
