arrive, verb, General, A1
arrow, noun, General, B1
art, noun, General, A1
article, noun, General, A1
artificial, adjective, General, A2
artist, noun, General, B1
artistic, adjective, General, B1
as, conjunction, General, A2
as, preposition, General, A1
ashamed, adjective, General, B1
aside, adverb, General, B1
ask, verb, General, A1
asleep, adjective, General, A2
aspect, noun, General, B1
aspirin, noun, General, B1
assign, verb, General, B1
assignment, noun, General, B1
assist, verb, General, B1
assistance, noun, General, B1
assistant, adjective, General, A2
assistant, noun, General, B1
associate, verb, General, B1
association, noun, General, A2
assume, verb, General, B1
astronaut, noun, General, A2
astronomer, noun, General, B1
at, preposition, General, A1
athlete, noun, General, A2
athletic, adjective, General, B1
Atlantic, adjective, General, B1
atmosphere, noun, General, B1
atom, noun, General, A2
atomic, adjective, General, B1
attach, verb, General, B1
attachment, noun, General, B1
attack, noun, General, A2
attack, verb, General, A2
attain, verb, General, B1
attempt, noun, General, A2
attempt, verb, General, B1
attend, verb, General, B1
attention, noun, General, A2
attitude, noun, General, A2
attract, verb, General, B1
attraction, noun, General, B1
attractive, adjective, General, A2
audience, noun, General, A2
audio, adjective, General, A2
August, noun, General, A1
aunt, noun, General, A1
author, noun, General, A2
authority, noun, General, B1
automatic, adjective, General, A2
automatically, adverb, General, A2
autumn, noun, General, A1
auxiliary, adjective, General, B1
available, adjective, General, B1
avenue, noun, General, B1
average, adjective, General, A2
average, noun, General, A2
avoid, verb, General, A2
awake, adjective, General, A1
award, noun, General, A2
award, verb, General, B1
aware, adjective, General, B1
awareness, noun, General, B1
away, adverb, General, A1
awesome, adjective, General, B1
awful, adjective, General, A2
awkward, adjective, General, B1
baby, noun, General, A1
babysit, verb, General, B1
babysitter, noun, General, B1
back, adjective, General, A2
back, adverb, General, A1
back, noun, General, A1
back, verb, General, B1
backache, noun, General, B1
background, noun, General, A2
backpack, noun, General, B1
backpacker, noun, General, B1
backpacking, noun, General, B1
bacon, noun, General, B1
bad, adjective, General, A1
badly, adverb, General, A2
badminton, noun, General, A2
bag, noun, General, A1
baggage, noun, General, B1
bake, verb, General, A2
baker, noun, General, B1
bakery, noun, General, B1
balance, noun, General, B1
balcony, noun, General, A2
bald, adjective, General, B1
ball, noun, sports, A1
balloon, noun, sports, A2
banana, noun, General, A1
band, noun, General, A1
bandage, noun, General, B1
bang, noun, General, B1
bang, verb, General, B1
bank, noun, General, A1
bank, verb, General, A2
bank account, noun, General, B1
banking, noun, General, A2
bar, noun, General, A1
bar, verb, General, B1
barbecue, noun, General, A2
barbecue, verb, General, B1
barber, noun, General, A2
bare, adjective, General, B1
barely, adverb, General, B1
bargain, noun, General, A2
bark, noun, General, B1
barman, noun, General, B1
barrel, noun, General, B1
base, noun, General, A2
base, verb, General, B1
baseball, noun, sports, A1
basement, noun, General, B1
basic, adjective, General, A2
basically, adverb, General, A2
basin, noun, General, B1
basis, noun, General, B1
basket, noun, General, A2
basketball, noun, sports, A1
bat, noun, General, A1
bat, verb, General, B1
batch, noun, General, A2
bath, noun, General, A1
bathe, verb, General, B1
bathroom, noun, General, A1
battery, noun, General, A2
battle, noun, General, B1
bay, noun, General, A2
be, be-verb, General, A1
beach, noun, General, A1
bean, noun, General, A1
bear, noun, animals, A1
bear, verb, animals, A2
beard, noun, animals, B1
beast, noun, General, B1
beat, verb, food, B1
beautiful, adjective, General, A1
beautifully, adverb, General, B1
beauty, noun, General, A2
beaver, noun, General, B1
because, conjunction, General, A1
because of, preposition, General, B1
become, verb, General, A1
bed, noun, General, A1
bedroom, noun, General, A1
bedside, noun, General, B1
bee, noun, General, A1
beef, noun, General, A1
been, be-verb, General, A2
beer, noun, General, A2
before, adverb, General, A1
before, conjunction, General, A2
before, preposition, General, A1
beg, verb, General, A2
begin, verb, General, A1
beginner, noun, General, A2
beginning, noun, General, A2
behalf, noun, General, B1
behave, verb, General, B1
behavior/behaviour, noun, General, A2
behind, adverb, General, A1
behind, preposition, General, A1
being, noun, General, A2
belief, noun, General, B1
believe, verb, General, A1
bell, noun, General, A1
belly, noun, General, A2
belong, verb, General, A2
beloved, adjective, General, B1
below, adverb, General, A1
below, preposition, General, A1
belt, noun, clothes, A2
bench, noun, General, A2
bend, verb, General, A2
beneath, preposition, food, B1
benefit, noun, General, B1
bent, adjective, General, B1
beside, preposition, General, A1
besides, adverb, General, A2
besides, preposition, General, B1
best, adjective, General, A1
best, adverb, General, A1
bet, verb, General, B1
better, adjective, General, A1
better, adverb, General, A2
between, preposition, General, A1
beyond, preposition, General, A2
bicycle, noun, General, A1
big, adjective, General, A1
bike, noun, General, A1
bilingual, adjective, General, B1
bill, noun, General, A2
bill, verb, General, B1
bin, noun, General, B1
biochemistry, noun, General, B1
biography, noun, General, B1
biology, noun, General, B1
bird, noun, animals, A1
birth, noun, General, A1
birthday, noun, General, A1
biscuit, noun, General, A1
bishop, noun, General, B1
bit, noun, General, A2
bite, noun, General, A2
bite, verb, General, B1
bitter, adjective, General, B1
black, adjective, General, A1
black, noun, General, A1
blackboard, noun, General, A2
blame, noun, General, B1
blame, verb, General, A2
blank, adjective, General, A1
blanket, noun, General, A2
bleed, verb, General, B1
blend, verb, General, B1
bless, verb, General, B1
blessing, noun, General, B1
blind, adjective, General, B1
block, noun, General, A1
block, verb, General, B1
blog, noun, General, B1
blogger, noun, General, B1
blonde, adjective, General, A2
blood, noun, General, A2
bloom, noun, General, A2
blow, noun, General, A2
blow, verb, General, A1
blue, adjective, General, A1
blue, noun, General, A1
blush, noun, General, B1
board, noun, General, A1
board, verb, General, B1
board game, noun, sports, A2
boast, verb, General, B1
boat, noun, General, A1
body, noun, health, A1
boil, verb, General, A2
boiled, adjective, General, A2
bold, adjective, General, B1
boldly, adverb, General, B1
bomb, noun, General, B1
bomb, verb, General, B1
bond, noun, General, B1
